folio,from_civic_number,street_name,property_postal_code,neighbourhood_code,legal_type,year_built,current_land_value,current_improvement_value,tax_assessment_year
019635970000,,DRUMMOND DR,V6T 1B7,001,LAND,1951,7595000.0,55100.0,2022
019636070000,,DRUMMOND DR,V6T 1B7,001,LAND,1931,10455000.0,145000.0,2022
019636070000,,DRUMMOND DR,V6T 1B7,001,LAND,1931,9907000.0,132000.0,2021
019636070000,,DRUMMOND DR,V6T 1B7,001,LAND,1931,10455000.0,149000.0,2023
019636070000,,DRUMMOND DR,V6T 1B7,001,LAND,1931,9410000.0,125000.0,2020
019636070000,,DRUMMOND DR,V6T 1B7,001,LAND,1931,9360000.0,146000.0,2024
019636070000,,DRUMMOND DR,V6T 1B7,001,LAND,1931,8563000.0,396000.0,2025
019636370000,,DRUMMOND DR,V6T 1B7,001,LAND,1989,7277000.0,2660000.0,2020
019636370000,,DRUMMOND DR,V6T 1B7,001,LAND,1989,8086000.0,2914000.0,2023
019636370000,,DRUMMOND DR,V6T 1B7,001,LAND,1989,7662000.0,2577000.0,2021
019636370000,,DRUMMOND DR,V6T 1B7,001,LAND,1989,8278000.0,2896000.0,2025
019636370000,,DRUMMOND DR,V6T 1B7,001,LAND,1989,8086000.0,2887000.0,2022
019636370000,,DRUMMOND DR,V6T 1B7,001,LAND,1989,8201000.0,2804000.0,2024
019636570000,,DRUMMOND DR,V6T 1B7,001,LAND,1927,9567000.0,119000.0,2024
019636570000,,DRUMMOND DR,V6T 1B7,001,LAND,1927,9432000.0,129000.0,2023
019636570000,,DRUMMOND DR,V6T 1B7,001,LAND,1927,9432000.0,124000.0,2022
019636570000,,DRUMMOND DR,V6T 1B7,001,LAND,1927,9657000.0,109000.0,2025
019636570000,,DRUMMOND DR,V6T 1B7,001,LAND,1927,8938000.0,127000.0,2021
019636570000,,DRUMMOND DR,V6T 1B7,001,LAND,1927,8489000.0,134000.0,2020
019636770000,,DRUMMOND DR,V6T 1B7,001,LAND,1992,9666000.0,3937000.0,2021
019636770000,,DRUMMOND DR,V6T 1B7,001,LAND,1992,11807000.0,4993000.0,2024
019636770000,,DRUMMOND DR,V6T 1B7,001,LAND,1992,11641000.0,5108000.0,2023
019636770000,,DRUMMOND DR,V6T 1B7,001,LAND,1992,9181000.0,4020000.0,2020
019636770000,,DRUMMOND DR,V6T 1B7,001,LAND,1992,11641000.0,5274000.0,2022
019636770000,,DRUMMOND DR,V6T 1B7,001,LAND,1992,11918000.0,5207000.0,2025
019636970000,,DRUMMOND DR,V6T 1B7,001,LAND,1915,9013000.0,10000.0,2023
019636970000,,DRUMMOND DR,V6T 1B7,001,LAND,1915,9198000.0,203000.0,2021
019636970000,,DRUMMOND DR,V6T 1B7,001,LAND,1915,8736000.0,205000.0,2020
019636970000,,DRUMMOND DR,V6T 1B7,001,LAND,1915,9228000.0,10000.0,2025
019636970000,,DRUMMOND DR,V6T 1B7,001,LAND,1915,9142000.0,10000.0,2024
019636970000,,DRUMMOND DR,V6T 1B7,001,LAND,1915,9707000.0,10000.0,2022
020630050000,,MARINE DR NW,,001,LAND,,454000.0,0.0,2021
020630050000,,MARINE DR NW,,001,LAND,,429000.0,0.0,2020
020630050000,,MARINE DR NW,,001,LAND,,532000.0,0.0,2023
020630050000,,MARINE DR NW,,001,LAND,,539000.0,0.0,2024
020630050000,,MARINE DR NW,,001,LAND,,543000.0,0.0,2025
020630050000,,MARINE DR NW,,001,LAND,,532000.0,0.0,2022
020630054001,,MARINE DR NW,,001,LAND,,62700.0,0.0,2021
020630054001,,MARINE DR NW,,001,LAND,,73600.0,0.0,2023
020630054001,,MARINE DR NW,,001,LAND,,73600.0,0.0,2022
020630054001,,MARINE DR NW,,001,LAND,,59200.0,0.0,2020
020630054001,,MARINE DR NW,,001,LAND,,75000.0,0.0,2025
020630054001,,MARINE DR NW,,001,LAND,,74500.0,0.0,2024
020632040000,,BLANCA ST,V6R 4E3,001,LAND,1988,6152000.0,771000.0,2022
020632040000,,BLANCA ST,V6R 4E3,001,LAND,1988,6098000.0,666000.0,2025
020632040000,,BLANCA ST,V6R 4E3,001,LAND,1988,6122000.0,644000.0,2024
020632040000,,BLANCA ST,V6R 4E3,001,LAND,1988,4888000.0,740000.0,2020
020632040000,,BLANCA ST,V6R 4E3,001,LAND,1988,5113000.0,716000.0,2021
020632040000,,BLANCA ST,V6R 4E3,001,LAND,1988,6142000.0,767000.0,2023
020632140000,,BLANCA ST,V6R 4E3,001,LAND,1988,6947000.0,823000.0,2023
020632140000,,BLANCA ST,V6R 4E3,001,LAND,1988,6957000.0,816000.0,2022
020632140000,,BLANCA ST,V6R 4E3,001,LAND,1988,6925000.0,694000.0,2024
020632140000,,BLANCA ST,V6R 4E3,001,LAND,1988,6124000.0,760000.0,2021
020632140000,,BLANCA ST,V6R 4E3,001,LAND,1988,5878000.0,786000.0,2020
020632140000,,BLANCA ST,V6R 4E3,001,LAND,1988,6897000.0,716000.0,2025
020635050000,,DRUMMOND DR,V6T 1B4,001,LAND,1927,11788000.0,1180000.0,2021
020635050000,,DRUMMOND DR,V6T 1B4,001,LAND,1927,12853000.0,1319000.0,2023
020635050000,,DRUMMOND DR,V6T 1B4,001,LAND,1927,12650000.0,1289000.0,2022
020635050000,,DRUMMOND DR,V6T 1B4,001,LAND,1927,11277000.0,1208000.0,2020
020635050000,,DRUMMOND DR,V6T 1B4,001,LAND,1927,13210000.0,1135000.0,2025
020635050000,,DRUMMOND DR,V6T 1B4,001,LAND,1927,13038000.0,1124000.0,2024
020636020000,,BLANCA ST,V6R 4E5,001,LAND,1913,4055000.0,862000.0,2021
020636020000,,BLANCA ST,V6R 4E5,001,LAND,1913,4559000.0,923000.0,2023
020636020000,,BLANCA ST,V6R 4E5,001,LAND,1913,3875000.0,839000.0,2020
020636020000,,BLANCA ST,V6R 4E5,001,LAND,1913,4526000.0,818000.0,2025
020636020000,,BLANCA ST,V6R 4E5,001,LAND,1913,4544000.0,876000.0,2024
020636020000,,BLANCA ST,V6R 4E5,001,LAND,1913,4574000.0,918000.0,2022
020636620001,,BLANCA ST,V6R 4E5,001,STRATA,2004,1957000.0,950000.0,2023
020636620001,,BLANCA ST,V6R 4E5,001,STRATA,2004,1943000.0,1044000.0,2025
020636620001,,BLANCA ST,V6R 4E5,001,STRATA,2004,1702000.0,916000.0,2021
020636620001,,BLANCA ST,V6R 4E5,001,STRATA,2004,1959000.0,961000.0,2022
020636620001,,BLANCA ST,V6R 4E5,001,STRATA,2004,1624000.0,919000.0,2020
020636620001,,BLANCA ST,V6R 4E5,001,STRATA,2004,1950000.0,990000.0,2024
020636620002,,BLANCA ST,V6R 4E5,001,STRATA,2004,1942000.0,1043000.0,2025
020636620002,,BLANCA ST,V6R 4E5,001,STRATA,2004,1624000.0,919000.0,2020
020636620002,,BLANCA ST,V6R 4E5,001,STRATA,2004,1702000.0,916000.0,2021
020636620002,,BLANCA ST,V6R 4E5,001,STRATA,2004,1958000.0,962000.0,2022
020636620002,,BLANCA ST,V6R 4E5,001,STRATA,2004,1950000.0,989000.0,2024
020636620002,,BLANCA ST,V6R 4E5,001,STRATA,2004,1956000.0,949000.0,2023
020674600000,,BLANCA ST,V6R 4E8,001,LAND,1941,1951000.0,18200.0,2020
020674600000,,BLANCA ST,V6R 4E8,001,LAND,1941,2405000.0,21400.0,2023
020674600000,,BLANCA ST,V6R 4E8,001,LAND,1941,2118000.0,18200.0,2021
020674600000,,BLANCA ST,V6R 4E8,001,LAND,1941,2554000.0,28700.0,2025
020674600000,,BLANCA ST,V6R 4E8,001,LAND,1941,2422000.0,21300.0,2022
020674600000,,BLANCA ST,V6R 4E8,001,LAND,1941,2496000.0,21400.0,2024
020674960000,,12TH AVE W,V6R 2R7,001,LAND,1926,2554000.0,30500.0,2025
020674960000,,12TH AVE W,V6R 2R7,001,LAND,1926,1951000.0,20600.0,2020
020674960000,,12TH AVE W,V6R 2R7,001,LAND,1926,2496000.0,20000.0,2024
020674960000,,12TH AVE W,V6R 2R7,001,LAND,1926,2422000.0,21100.0,2022
020674960000,,12TH AVE W,V6R 2R7,001,LAND,1926,2118000.0,19700.0,2021
020674960000,,12TH AVE W,V6R 2R7,001,LAND,1926,2405000.0,20500.0,2023
020683040000,,13TH AVE W,V6R 2V7,001,LAND,1941,3144000.0,51400.0,2025
020683040000,,13TH AVE W,V6R 2V7,001,LAND,1941,3005000.0,53700.0,2022
020683040000,,13TH AVE W,V6R 2V7,001,LAND,1941,3072000.0,54200.0,2024
020683040000,,13TH AVE W,V6R 2V7,001,LAND,1941,2439000.0,50100.0,2020
020683040000,,13TH AVE W,V6R 2V7,001,LAND,1941,2638000.0,46400.0,2021
020683040000,,13TH AVE W,V6R 2V7,001,LAND,1941,2960000.0,53700.0,2023
020683560000,,BLANCA ST,V6R 4G1,001,LAND,1940,2963000.0,140000.0,2023
020683560000,,BLANCA ST,V6R 4G1,001,LAND,1940,2640000.0,127000.0,2021
020683560000,,BLANCA ST,V6R 4G1,001,LAND,1940,2440000.0,141000.0,2020
020683560000,,BLANCA ST,V6R 4G1,001,LAND,1940,3008000.0,143000.0,2022
020683560000,,BLANCA ST,V6R 4G1,001,LAND,1940,3075000.0,136000.0,2024
020683560000,,BLANCA ST,V6R 4G1,001,LAND,1940,3147000.0,123000.0,2025
020683760000,,BLANCA ST,V6R 4G1,001,LAND,1944,3147000.0,37200.0,2025
020683760000,,BLANCA ST,V6R 4G1,001,LAND,1944,2440000.0,36500.0,2020
020683760000,,BLANCA ST,V6R 4G1,001,LAND,1944,2640000.0,33800.0,2021
020683760000,,BLANCA ST,V6R 4G1,001,LAND,1944,3008000.0,39200.0,2022
020683760000,,BLANCA ST,V6R 4G1,001,LAND,1944,2963000.0,38900.0,2023
020683760000,,BLANCA ST,V6R 4G1,001,LAND,1944,3075000.0,39200.0,2024
020683960000,,14TH AVE W,V6R 2Y7,001,LAND,1941,3074000.0,48200.0,2024
020683960000,,14TH AVE W,V6R 2Y7,001,LAND,1941,2639000.0,41100.0,2021
020683960000,,14TH AVE W,V6R 2Y7,001,LAND,1941,2439000.0,44500.0,2020
020683960000,,14TH AVE W,V6R 2Y7,001,LAND,1941,3145000.0,45600.0,2025
020683960000,,14TH AVE W,V6R 2Y7,001,LAND,1941,2962000.0,47700.0,2023
020683960000,,14TH AVE W,V6R 2Y7,001,LAND,1941,3007000.0,47700.0,2022
022630040000,,TOLMIE ST,V6R 4B3,001,LAND,1955,5808000.0,71000.0,2023
022630040000,,TOLMIE ST,V6R 4B3,001,LAND,1955,5763000.0,69900.0,2025
022630040000,,TOLMIE ST,V6R 4B3,001,LAND,1955,5020000.0,62000.0,2021
022630040000,,TOLMIE ST,V6R 4B3,001,LAND,1955,4757000.0,60800.0,2020
022630040000,,TOLMIE ST,V6R 4B3,001,LAND,1955,5839000.0,73700.0,2022
022630040000,,TOLMIE ST,V6R 4B3,001,LAND,1955,5787000.0,71600.0,2024
022630640000,,TOLMIE ST,V6R 4B3,001,LAND,1996,9737000.0,3059000.0,2023
022630640000,,TOLMIE ST,V6R 4B3,001,LAND,1996,8828000.0,2716000.0,2021
022630640000,,TOLMIE ST,V6R 4B3,001,LAND,1996,9860000.0,2935000.0,2022
022630640000,,TOLMIE ST,V6R 4B3,001,LAND,1996,9667000.0,2997000.0,2025
022630640000,,TOLMIE ST,V6R 4B3,001,LAND,1996,9706000.0,2996000.0,2024
022630640000,,TOLMIE ST,V6R 4B3,001,LAND,1996,8401000.0,2744000.0,2020
022632050000,,TOLMIE ST,V6R 4B5,001,LAND,2012,3061000.0,2217000.0,2020
022632050000,,TOLMIE ST,V6R 4B5,001,LAND,2012,4157000.0,2438000.0,2022
022632050000,,TOLMIE ST,V6R 4B5,001,LAND,2012,4125000.0,2601000.0,2025
022632050000,,TOLMIE ST,V6R 4B5,001,LAND,2012,4141000.0,2554000.0,2024
022632050000,,TOLMIE ST,V6R 4B5,001,LAND,2012,3213000.0,2214000.0,2021
022632050000,,TOLMIE ST,V6R 4B5,001,LAND,2012,4155000.0,2582000.0,2023
022633070000,,TOLMIE ST,V6R 4B7,001,LAND,1936,6357000.0,521000.0,2024
022633070000,,TOLMIE ST,V6R 4B7,001,LAND,1936,6332000.0,479000.0,2025
022633070000,,TOLMIE ST,V6R 4B7,001,LAND,1936,5399000.0,575000.0,2020
022633070000,,TOLMIE ST,V6R 4B7,001,LAND,1936,6387000.0,567000.0,2022
022633070000,,TOLMIE ST,V6R 4B7,001,LAND,1936,6378000.0,555000.0,2023
022633070000,,TOLMIE ST,V6R 4B7,001,LAND,1936,5679000.0,569000.0,2021
022636040000,,TOLMIE ST,V6R 4L8,001,LAND,2004,4520000.0,1921000.0,2023
022636040000,,TOLMIE ST,V6R 4L8,001,LAND,2004,4019000.0,1737000.0,2021
022636040000,,TOLMIE ST,V6R 4L8,001,LAND,2004,4505000.0,1897000.0,2024
022636040000,,TOLMIE ST,V6R 4L8,001,LAND,2004,3829000.0,1518000.0,2020
022636040000,,TOLMIE ST,V6R 4L8,001,LAND,2004,4487000.0,1928000.0,2025
022636040000,,TOLMIE ST,V6R 4L8,001,LAND,2004,4526000.0,1910000.0,2022
022636570000,,TOLMIE ST,V6R 4B9,001,LAND,1982,7763000.0,542000.0,2023
022636570000,,TOLMIE ST,V6R 4B9,001,LAND,1982,6923000.0,512000.0,2021
022636570000,,TOLMIE ST,V6R 4B9,001,LAND,1982,7708000.0,455000.0,2025
022636570000,,TOLMIE ST,V6R 4B9,001,LAND,1982,6652000.0,532000.0,2020
022636570000,,TOLMIE ST,V6R 4B9,001,LAND,1982,7738000.0,450000.0,2024
022636570000,,TOLMIE ST,V6R 4B9,001,LAND,1982,7798000.0,546000.0,2022
022636970000,,TOLMIE ST,V6R 4B9,001,LAND,1922,6742000.0,233000.0,2020
022636970000,,TOLMIE ST,V6R 4B9,001,LAND,1922,7673000.0,252000.0,2023
022636970000,,TOLMIE ST,V6R 4B9,001,LAND,1922,6979000.0,233000.0,2021
022636970000,,TOLMIE ST,V6R 4B9,001,LAND,1922,7618000.0,218000.0,2025
022636970000,,TOLMIE ST,V6R 4B9,001,LAND,1922,7742000.0,245000.0,2022
022636970000,,TOLMIE ST,V6R 4B9,001,LAND,1922,7648000.0,236000.0,2024
022637370000,,TOLMIE ST,V6R 4C1,001,LAND,1936,5495000.0,324000.0,2021
022637370000,,TOLMIE ST,V6R 4C1,001,LAND,1936,6293000.0,334000.0,2023
022637370000,,TOLMIE ST,V6R 4C1,001,LAND,1936,5270000.0,318000.0,2020
022637370000,,TOLMIE ST,V6R 4C1,001,LAND,1936,6273000.0,320000.0,2024
022637370000,,TOLMIE ST,V6R 4C1,001,LAND,1936,6298000.0,347000.0,2022
022637370000,,TOLMIE ST,V6R 4C1,001,LAND,1936,6301000.0,313000.0,2025
022637610000,,TOLMIE ST,V6R 4C1,001,LAND,2019,6275000.0,3438000.0,2024
022637610000,,TOLMIE ST,V6R 4C1,001,LAND,1931,5497000.0,852000.0,2021
022637610000,,TOLMIE ST,V6R 4C1,001,LAND,1931,5272000.0,213000.0,2020
022637610000,,TOLMIE ST,V6R 4C1,001,LAND,2019,6299000.0,3300000.0,2022
022637610000,,TOLMIE ST,V6R 4C1,001,LAND,2019,6303000.0,3503000.0,2025
022637610000,,TOLMIE ST,V6R 4C1,001,LAND,2019,6295000.0,3438000.0,2023
022640040000,,TOLMIE ST,V6R 4S6,001,LAND,2004,2589000.0,963000.0,2025
022640040000,,TOLMIE ST,V6R 4S6,001,LAND,2004,2223000.0,889000.0,2020
022640040000,,TOLMIE ST,V6R 4S6,001,LAND,2004,2224000.0,887000.0,2021
022640040000,,TOLMIE ST,V6R 4S6,001,LAND,2004,2581000.0,931000.0,2022
022640040000,,TOLMIE ST,V6R 4S6,001,LAND,2004,2621000.0,891000.0,2023
022640040000,,TOLMIE ST,V6R 4S6,001,LAND,2004,2606000.0,928000.0,2024
